"UA_GEOID","UA_NAME","avg_frequency","pct_chain","n_rest"
"03142","Arkansas City, KS",2807.45161290323,0.645161290322581,31
"03158","Arlington, TN",2530.17857142857,0.357142857142857,28
"03196","Arroyo Grande--Grover Beach, CA",1128.17647058824,0.235294117647059,221
"03223","Artesia, NM",3899.89285714286,0.607142857142857,28
"03250","Arvin, CA",4216.4,0.533333333333333,15
"03277","Ashburn, GA",2013,0.6,10
"03304","Ashdown, AR",4625.41666666667,0.416666666666667,12
"03331","Asheboro, NC",2909.13513513513,0.54954954954955,111
"03358","Asheville, NC",1702.52662721893,0.368554522400676,1183
"03365","Ashland, MO",3394.5,0.5,12
"03375","Ashland, NE",3863.5,0.5,8
"03385","Ashland, OH",3293.72093023256,0.511627906976744,43
"03395","Ashland, PA",1876.38461538462,0.230769230769231,13
"03412","Ashland, WI",3470.4,0.52,25
"03439","Ashland City, TN",4889.21428571429,0.785714285714286,14
"03466","Ashtabula, OH",2388.64197530864,0.432098765432099,81
"03493","Ashville, OH",4787.81818181818,0.454545454545455,11
"03520","Aspen, CO",2.16346153846154,0.0673076923076923,104
"03547","Astoria, OR",1057.90909090909,0.232323232323232,99
"03601","Atchison, KS--MO",3238.7037037037,0.481481481481481,27
"03655","Athens, AL",2249.5671641791,0.552238805970149,67
"03682","Athens, OH",2100.74311926606,0.422018348623853,109
"03709","Athens, TN",3410.82051282051,0.692307692307692,39
"03736","Athens, TX",2338.74468085106,0.446808510638298,47
"03763","Athens-Clarke County, GA",1432.04415584416,0.475324675324675,385
"03790","Athol, MA",3159.92307692308,0.5,26
"03817","Atlanta, GA",1862.0827808941,0.485041645419004,11766
"03844","Atlanta, TX",2815.625,0.416666666666667,24
"03871","Atlantic, IA",1470.2380952381,0.571428571428571,21
"03898","Atlantic City, NJ",793.622140896615,0.222323879231473,1093
"03925","Atmore, AL",3142.52631578947,0.578947368421053,19
"03957","Atoka, TN",2925.21428571429,0.607142857142857,28
"03979","Attica, IN",5603.125,0.375,8
"04006","Attica, NY",1630.11111111111,0.333333333333333,9
"04021","Aubrey, TX",3956,0.555555555555556,9
"04033","Auburn, AL",1685.85507246377,0.594202898550725,276
"04054","Auburn, IL",5150.16666666667,0.5,6
"04060","Auburn, IN",3085.1724137931,0.46551724137931,58
"04087","Auburn, NE",4121.44444444444,0.666666666666667,9
"04114","Auburn, NY",2636.79069767442,0.406976744186047,86
"04130","Auburn--North Auburn, CA",1428.67123287671,0.410958904109589,146
"04168","Augusta, KS",4162.82352941176,0.647058823529412,17
"04195","Augusta, ME",3079.62831858407,0.442477876106195,113
"04222","Augusta-Richmond County, GA--SC",2348.81882352941,0.592941176470588,850
"04249","Aumsville, OR",18,0.5,2
"04276","Aurora, MO",3999.06666666667,0.466666666666667,15
"04303","Aurora, NE",4721.6,0.6,10
"04330","Au Sable, MI",2920.63636363636,0.363636363636364,22
"04357","Austin, MN",2326.28,0.54,50
"04384","Austin, TX",1293.68667439166,0.419003476245655,4315
"04411","Ava, MO",4238.06666666667,0.533333333333333,15
"04438","Avalon, CA",2.31428571428571,0.114285714285714,35
"04465","Avenal, CA",3043.5,0.25,8
"04519","Avon, NY",5531.07692307692,0.692307692307692,13
"04549","Avondale--Goodyear, AZ",2370.94696969697,0.628787878787879,396
"04573","Avra Valley, AZ",1,0,1
"04587","Aztec, NM",3658.4,0.5,20
"04600","Bad Axe, MI",3284.33333333333,0.666666666666667,18
"04627","Bainbridge, GA",3090.44736842105,0.447368421052632,38
"04654","Baker City, OR",1572.94594594595,0.27027027027027,37
"04681","Bakersfield, CA",2223.25806451613,0.518353726362625,899
"04708","Bald Knob, AR",3514,0.538461538461538,13
"04762","Baldwin, WI",52,0.272727272727273,11
"04789","Baldwin City, KS",3987.69230769231,0.538461538461538,13
"04816","Ballinger, TX",2058.23529411765,0.352941176470588,17
"04843","Baltimore, MD",2248.34085648148,0.447723765432099,5184
"04870","Baltimore, OH",2585.58333333333,0.25,12
"04897","Bamberg, SC",5534,0.666666666666667,6
"04924","Bandon, OR",1109.59090909091,0.0909090909090909,22
"04951","Bangor, ME",2830.48341232227,0.407582938388626,211
"05005","Baraboo, WI",2287.73333333333,0.333333333333333,45
"05032","Barbourville, KY",4777.42857142857,0.785714285714286,14
"05059","Bardstown, KY",2243.08771929825,0.43859649122807,57
"05086","Bar Harbor, ME",323.552631578947,0.118421052631579,76
"05113","Barnesville, GA",3049.58823529412,0.529411764705882,17
"05140","Barnesville, OH",5000.18181818182,0.545454545454545,11
"05167","Barnstable Town, MA",1205.65698924731,0.218279569892473,930
"05194","Barnwell, SC",4486,0.846153846153846,13
"05221","Barre--Montpelier, VT",2216.76470588235,0.25,68
"05248","Barron, WI",4950.2,0.6,10
"05275","Barrow, AK",4057.83333333333,0.333333333333333,6
"05302","Barstow, CA",2116.60975609756,0.463414634146341,41
"05329","Bartlesville, OK",2404.16326530612,0.510204081632653,98
"05410","Basalt--El Jebel, CO",1379.23684210526,0.236842105263158,38
"05423","Basehor, KS",3505.3,0.7,10
"05437","Bastrop, LA",3452.47619047619,0.666666666666667,21
"05464","Bastrop, TX",2500.89795918367,0.469387755102041,49
"05491","Batavia, NY",2961.578125,0.390625,64
"05518","Batesburg-Leesville, SC",2801.95652173913,0.478260869565217,23
"05545","Batesville, AR",3295.02564102564,0.58974358974359,39
"05572","Batesville, IN",2682,0.482758620689655,29
"05599","Batesville, MS",3804.30434782609,0.782608695652174,23
"05653","Bath, NY",4459.0625,0.5625,16
"05680","Baton Rouge, LA",2557.30175706646,0.510313216195569,1309
"05707","Battle Creek, MI",2898.5,0.5,144
"05734","Battlement Mesa, CO",3731.2,0.5,10
"05761","Battle Mountain, NV",2939.23076923077,0.538461538461538,13
"05788","Baxley, GA",3137.46153846154,0.615384615384615,26
"05815","Baxter Springs, KS",3897.46153846154,0.461538461538462,13
"05842","Bayard, NM",24.6666666666667,0.333333333333333,3
"05869","Bay City, MI",2750.45061728395,0.444444444444444,162
"05896","Bay City, TX",3310.72916666667,0.583333333333333,48
"05904","Bayfield, CO",3,0.166666666666667,12
"05923","Bay Minette, AL",4046.18181818182,0.636363636363636,22
"05958","Bealeton, VA",5669.18181818182,0.727272727272727,11
"05977","Beardstown, IL",3565.8,0.733333333333333,15
"06004","Beatrice, NE",2744.03125,0.59375,32
"06031","Beaufort--Port Royal, SC",2040.72262773723,0.445255474452555,137
"06058","Beaumont, TX",2767.77678571429,0.580357142857143,336
"06076","Beaver, UT",3898.8,0.3,10
"06085","Beaver Dam, KY",3135.86363636364,0.5,22
"06112","Beaver Dam, WI",2727.52380952381,0.380952380952381,42
"06128","Becker, MN",3831.3,0.5,10
"06139","Beckley, WV",3470.08176100629,0.69811320754717,159
"06166","Bedford, IN",3079.8,0.625,40
"06186","Bedford, NY",2.8,0.2,5
"06193","Bedford, PA",689.952380952381,0.19047619047619,21
"06220","Bedford, VA",2320.07692307692,0.461538461538462,26
"06247","Beebe, AR",5674.05555555556,0.777777777777778,18
"06261","Beecher, IL",2535.7,0.6,10
"06274","Beeville, TX",3568.56756756757,0.513513513513513,37
"06301","Belding, MI",3159.75,0.166666666666667,12
"06335","Belfair, WA",4153.55555555556,0.444444444444444,9
"06355","Belfast, ME",1833.35483870968,0.193548387096774,31
"06382","Belgrade, MT",1757.2,0.533333333333333,45
"06436","Bellefontaine, OH",3371.78260869565,0.58695652173913,46
"06463","Bellefonte, PA",2781.36363636364,0.303030303030303,33
"06490","Belle Fourche, SD",2971.2380952381,0.380952380952381,21
"06517","Belle Glade, FL",6850.61904761905,0.714285714285714,21
"06571","Belle Plaine, MN",2600.09090909091,0.363636363636364,11
"06598","Bellevue, IA",4443.16666666667,0.333333333333333,6
"06625","Bellevue, OH",3437.21739130435,0.478260869565217,23
"06652","Bellingham, WA",1680.93939393939,0.318181818181818,330
"06679","Bellows Falls, VT--NH",2822.04166666667,0.333333333333333,24
"06692","Bells, TN",3583.77777777778,0.555555555555556,9
"06706","Bellville, TX",918.375,0.25,16
"06733","Beloit, KS",3650.375,0.5,8
"06760","Beloit, WI--IL",2583.82258064516,0.443548387096774,124
"06770","Belterra, TX",1.25,0,4
"06779","Belton, SC",4801.8,0.666666666666667,15
"06787","Belvidere, NJ--PA",2.14285714285714,0.0714285714285714,14
"06814","Belzoni, MS",7581.8,0.4,5
"06841","Bemidji, MN",2597.70588235294,0.602941176470588,68
"06868","Bend, OR",949.541379310345,0.279310344827586,290
"06895","Bennettsville, SC",4471.625,0.6875,16
"06922","Bennington, VT",1987.61224489796,0.306122448979592,49
"06949","Benson, AZ",1022.53846153846,0.307692307692308,13
"06976","Benson, MN",3254.27272727273,0.454545454545455,11
"07003","Benson, NC",4881.2,0.666666666666667,15
"07030","Benton, IL",2516.12,0.6,25
