"MSA_GEOID","MSA_NAME","avg_frequency","pct_chain","n_rest"
10180,"Abilene, TX",2855.7476635514,0.53582554517134,321
10420,"Akron, OH",2602.66031073446,0.502118644067797,1416
10500,"Albany, GA",3792.8125,0.651785714285714,224
10540,"Albany-Lebanon, OR",2010.407239819,0.393665158371041,221
10580,"Albany-Schenectady-Troy, NY",1980.95411985019,0.333801498127341,2136
10740,"Albuquerque, NM",2131.05285412262,0.49154334038055,1892
10780,"Alexandria, LA",2873.93449781659,0.519650655021834,229
10900,"Allentown-Bethlehem-Easton, PA-NJ",1608.13383297645,0.355995717344754,1868
11020,"Altoona, PA",2515.85185185185,0.436213991769547,243
11100,"Amarillo, TX",2477.71334792123,0.516411378555799,457
11180,"Ames, IA",2445.96170212766,0.582978723404255,235
11260,"Anchorage, AK",1766.52362204724,0.308398950131234,762
11460,"Ann Arbor, MI",1879.4448574969,0.422552664188352,807
11500,"Anniston-Oxford, AL",3211.89603960396,0.653465346534653,202
11540,"Appleton, WI",2124.552,0.388,500
11700,"Asheville, NC",1680.26739640344,0.355746677091478,1279
12020,"Athens-Clarke County, GA",1729.02947845805,0.492063492063492,441
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1953.91086719601,0.489957963568426,12846
12100,"Atlantic City-Hammonton, NJ",943.61391694725,0.250280583613917,891
12220,"Auburn-Opelika, AL",1966.72151898734,0.582278481012658,316
12260,"Augusta-Richmond County, GA-SC",2492.27210884354,0.586977648202138,1029
12420,"Austin-Round Rock-Georgetown, TX",1406.70940491834,0.427632813966585,5327
12540,"Bakersfield, CA",2795.95821325648,0.521613832853026,1388
12580,"Baltimore-Columbia-Towson, MD",2302.71096121417,0.447892074198988,5930
12620,"Bangor, ME",2870.54632587859,0.380191693290735,313
12700,"Barnstable Town, MA",961.220164609054,0.17798353909465,972
12940,"Baton Rouge, LA",2660.46675444371,0.495720868992758,1519
12980,"Battle Creek, MI",3404.46875,0.491071428571429,224
13020,"Bay City, MI",2742.20603015075,0.407035175879397,199
13140,"Beaumont-Port Arthur, TX",2914.92307692308,0.576923076923077,676
13220,"Beckley, WV",3730.10628019324,0.666666666666667,207
13380,"Bellingham, WA",1741.46398305085,0.305084745762712,472
13460,"Bend, OR",1206.03725490196,0.270588235294118,510
13740,"Billings, MT",2046.29411764706,0.4,425
13780,"Binghamton, NY",2496.94605009634,0.354527938342967,519
13820,"Birmingham-Hoover, AL",2459.15175879397,0.542713567839196,1990
13900,"Bismarck, ND",1860.05106382979,0.514893617021277,235
13980,"Blacksburg-Christiansburg, VA",2756,0.553254437869823,338
14010,"Bloomington, IL",2870.45402298851,0.554597701149425,348
14020,"Bloomington, IN",2025.84821428571,0.43452380952381,336
14100,"Bloomsburg-Berwick, PA",3020.73936170213,0.468085106382979,188
14260,"Boise City, ID",1767.11565585331,0.483779971791255,1418
14460,"Boston-Cambridge-Newton, MA-NH",1525.44223766965,0.32340284673949,12084
14500,"Boulder, CO",1195.25057736721,0.337182448036952,866
14540,"Bowling Green, KY",2843.62866449511,0.615635179153095,307
14740,"Bremerton-Silverdale-Port Orchard, WA",2000.79646017699,0.330973451327434,565
14860,"Bridgeport-Stamford-Norwalk, CT",1561.56869139829,0.275173257236038,2453
15180,"Brownsville-Harlingen, TX",2271.23901808786,0.496124031007752,774
15260,"Brunswick, GA",1992.88364779874,0.377358490566038,318
15380,"Buffalo-Cheektowaga, NY",1731.77632590315,0.353189853958493,2602
15500,"Burlington, NC",2185.83918128655,0.532163742690059,342
15540,"Burlington-South Burlington, VT",1578.78584392015,0.261343012704174,551
15680,"California-Lexington Park, MD",2436.54347826087,0.510869565217391,184
15940,"Canton-Massillon, OH",2636.18369829684,0.531630170316302,822
15980,"Cape Coral-Fort Myers, FL",1962.76768257619,0.416331224841863,1739
16020,"Cape Girardeau, MO-IL",2333.2009569378,0.526315789473684,209
16060,"Carbondale-Marion, IL",2863.00342465753,0.589041095890411,292
16180,"Carson City, NV",1825.84827586207,0.482758620689655,145
16220,"Casper, WY",2622.74096385542,0.542168674698795,166
16300,"Cedar Rapids, IA",2176.96903460838,0.504553734061931,549
16540,"Chambersburg-Waynesboro, PA",1875.55118110236,0.413385826771654,254
16580,"Champaign-Urbana, IL",2319.53861386139,0.518811881188119,505
16620,"Charleston, WV",3201.49482401656,0.629399585921325,483
16700,"Charleston-North Charleston, SC",1585.67082035306,0.403426791277259,1926
16740,"Charlotte-Concord-Gastonia, NC-SC",2053.22580645161,0.519165085388994,5270
16820,"Charlottesville, VA",1469.82956521739,0.358260869565217,575
16860,"Chattanooga, TN-GA",2240.46544876886,0.499602859412232,1259
16940,"Cheyenne, WY",2710.55063291139,0.493670886075949,158
16980,"Chicago-Naperville-Elgin, IL-IN-WI",2128.48219537578,0.420478711370526,22101
17020,"Chico, CA",1896.77083333333,0.40625,384
17140,"Cincinnati, OH-KY-IN",2280.15377718,0.534633490248823,4461
17300,"Clarksville, TN-KY",2562.71378091873,0.560070671378092,566
17420,"Cleveland, TN",2779.41592920354,0.570796460176991,226
17460,"Cleveland-Elyria, OH",2335.47803082586,0.461007591442374,4347
17660,"Coeur d'Alene, ID",1574.46305418719,0.344827586206897,406
17780,"College Station-Bryan, TX",1923.37876106195,0.506194690265487,565
17820,"Colorado Springs, CO",2130.77770897833,0.469349845201238,1615
17860,"Columbia, MO",2154.35761589404,0.52317880794702,453
17900,"Columbia, SC",2383.2642118863,0.556847545219638,1548
17980,"Columbus, GA-AL",2351.5127388535,0.573248407643312,628
18020,"Columbus, IN",2669.7898089172,0.611464968152866,157
18140,"Columbus, OH",2271.20324629499,0.518936720771583,4251
18580,"Corpus Christi, TX",2533.88801791713,0.498320268756999,893
18700,"Corvallis, OR",1437.40579710145,0.328502415458937,207
18880,"Crestview-Fort Walton Beach-Destin, FL",1499.84901758014,0.364012409513961,967
19060,"Cumberland, MD-WV",3034.55191256831,0.453551912568306,183
19100,"Dallas-Fort Worth-Arlington, TX",2005.77469514162,0.523582166591393,15499
19140,"Dalton, GA",2858.22707423581,0.537117903930131,229
19180,"Danville, IL",3209.36220472441,0.598425196850394,127
19300,"Daphne-Fairhope-Foley, AL",1700.7753164557,0.379746835443038,632
19340,"Davenport-Moline-Rock Island, IA-IL",2212.98032786885,0.481967213114754,915
19430,"Dayton-Kettering, OH",2614.30356027483,0.591505309181761,1601
19460,"Decatur, AL",2757.88617886179,0.577235772357724,246
19500,"Decatur, IL",3336.13432835821,0.562189054726368,201
19660,"Deltona-Daytona Beach-Ormond Beach, FL",1931.92076502732,0.426912568306011,1464
19740,"Denver-Aurora-Lakewood, CO",1808.31764022087,0.448125544899738,6882
19780,"Des Moines-West Des Moines, IA",2037.88589211618,0.5,1446
19820,"Detroit-Warren-Dearborn, MI",2213.6513836773,0.476899624765478,8528
20020,"Dothan, AL",3179.80968858131,0.615916955017301,289
20100,"Dover, DE",2305.01941747573,0.553398058252427,309
20220,"Dubuque, IA",2056.97446808511,0.459574468085106,235
20260,"Duluth, MN-WI",2095.4094488189,0.355905511811024,635
20500,"Durham-Chapel Hill, NC",1978.05692438403,0.420560747663551,1177
20700,"East Stroudsburg, PA",1608.86842105263,0.298245614035088,456
20740,"Eau Claire, WI",2432.59312320917,0.424068767908309,349
20940,"El Centro, CA",3056.55510204082,0.53469387755102,245
21060,"Elizabethtown-Fort Knox, KY",3193.18106995885,0.641975308641975,243
21140,"Elkhart-Goshen, IN",3393.1954674221,0.526912181303116,353
21300,"Elmira, NY",2979.67955801105,0.49171270718232,181
21340,"El Paso, TX",2437.82965299685,0.466246056782334,1585
21420,"Enid, OK",2340.27272727273,0.554545454545455,110
21500,"Erie, PA",2553.95256916996,0.454545454545455,506
21660,"Eugene-Springfield, OR",1663.86013215859,0.348017621145374,908
21780,"Evansville, IN-KY",2645.59866220736,0.560200668896321,598
21820,"Fairbanks, AK",1822.07053941909,0.269709543568465,241
22020,"Fargo, ND-MN",2340.22886597938,0.54020618556701,485
22140,"Farmington, NM",3318.84848484848,0.590909090909091,198
22180,"Fayetteville, NC",2927.85873192436,0.587319243604004,899
22220,"Fayetteville-Springdale-Rogers, AR",1938.8142726441,0.4967978042086,1093
22380,"Flagstaff, AZ",1448.1975308642,0.302469135802469,486
22420,"Flint, MI",2909.28888888889,0.505185185185185,675
22500,"Florence, SC",2676.88502673797,0.572192513368984,374
22520,"Florence-Muscle Shoals, AL",2628.81343283582,0.526119402985075,268
22540,"Fond du Lac, WI",2267.02083333333,0.364583333333333,192
22660,"Fort Collins, CO",1739.02154195011,0.435374149659864,882
22900,"Fort Smith, AR-OK",2713.20529801324,0.556291390728477,453
23060,"Fort Wayne, IN",2655.12188365651,0.508310249307479,722
23420,"Fresno, CA",2188.30447585395,0.496466431095406,1698
23460,"Gadsden, AL",2967.60115606936,0.606936416184971,173
23540,"Gainesville, FL",2318.15,0.488571428571429,700
23580,"Gainesville, GA",2196.49322493225,0.5420054200542,369
23900,"Gettysburg, PA",2039.9623655914,0.344086021505376,186
24020,"Glens Falls, NY",1486.87750556793,0.260579064587973,449
24140,"Goldsboro, NC",2948.66666666667,0.584615384615385,195
24220,"Grand Forks, ND-MN",2339.88405797101,0.449275362318841,207
24260,"Grand Island, NE",2507.484375,0.546875,192
24300,"Grand Junction, CO",2029.60883280757,0.476340694006309,317
24340,"Grand Rapids-Kentwood, MI",2296.80569430569,0.448051948051948,2002
24420,"Grants Pass, OR",1335.19230769231,0.326923076923077,208
24500,"Great Falls, MT",2133.24277456647,0.439306358381503,173
24540,"Greeley, CO",2783.1390593047,0.539877300613497,489
24580,"Green Bay, WI",2363.33082706767,0.406015037593985,665
24660,"Greensboro-High Point, NC",2314.7472826087,0.497961956521739,1472
